"date","ticker","open","high","low","close","volume","adjusted"
2024-10-10,"ADA",0.339693993330002,0.341165989637375,0.332073986530304,0.338889986276627,208411029,0.338889986276627
2024-10-11,"ADA",0.338894009590149,0.354588985443115,0.33857199549675,0.351184993982315,192684098,0.351184993982315
2024-10-12,"ADA",0.351184010505676,0.356130987405777,0.351184010505676,0.353215008974075,153558913,0.353215008974075
2024-10-13,"ADA",0.353215008974075,0.358853995800018,0.344653010368347,0.348033994436264,185274283,0.348033994436264
2024-10-14,"ADA",0.348035007715225,0.364845991134644,0.342887997627258,0.363889008760452,285258532,0.363889008760452
2024-10-15,"ADA",0.363889992237091,0.369448989629745,0.349056988954544,0.358527004718781,399757771,0.358527004718781
2024-10-16,"ADA",0.358527004718781,0.36039200425148,0.351415991783142,0.352524995803833,268878089,0.352524995803833
2024-10-17,"ADA",0.352526992559433,0.354557991027832,0.340341985225677,0.343032002449036,284797891,0.343032002449036
2024-10-18,"ADA",0.343026995658875,0.352515012025833,0.34290999174118,0.3507100045681,210521099,0.3507100045681
2024-10-19,"ADA",0.350708991289139,0.356633007526398,0.349649012088776,0.351660996675491,165288317,0.351660996675491
2024-10-20,"ADA",0.351660013198853,0.36514800786972,0.348623007535934,0.364841014146805,202078470,0.364841014146805
2024-10-21,"ADA",0.364841997623444,0.371904999017715,0.353498995304108,0.360956013202667,305820736,0.360956013202667
2024-10-22,"ADA",0.360958009958267,0.367267996072769,0.355865985155106,0.363819986581802,299403395,0.363819986581802
2024-10-23,"ADA",0.363819986581802,0.368221014738083,0.343326985836029,0.348614007234573,292449176,0.348614007234573
2024-10-24,"ADA",0.349905014038086,0.354364007711411,0.340196013450623,0.346309989690781,268150393,0.346309989690781
2024-10-25,"ADA",0.346322000026703,0.346491992473602,0.32047501206398,0.324411988258362,429399149,0.324411988258362
2024-10-26,"ADA",0.324414014816284,0.333894014358521,0.321568012237549,0.333350002765656,250257801,0.333350002765656
2024-10-27,"ADA",0.333350986242294,0.341380000114441,0.33135598897934,0.339872002601624,153581313,0.339872002601624
2024-10-28,"ADA",0.339872002601624,0.346958011388779,0.331230014562607,0.343796014785767,268428861,0.343796014785767
2024-10-29,"ADA",0.343793988227844,0.356191009283066,0.343246012926102,0.355650991201401,295107515,0.355650991201401
2024-10-30,"ADA",0.355655014514923,0.363025993108749,0.351303994655609,0.355264008045197,291553538,0.355264008045197
2024-10-31,"ADA",0.355264991521835,0.36055201292038,0.341093987226486,0.341845005750656,280824333,0.341845005750656
2024-11-01,"ADA",0.341845989227295,0.361007004976273,0.335417985916138,0.357089996337891,368246241,0.357089996337891
2024-11-02,"ADA",0.357093006372452,0.362870991230011,0.346303999423981,0.347770988941193,236242981,0.347770988941193
2024-11-03,"ADA",0.347763985395432,0.34791100025177,0.329236000776291,0.334284991025925,282268957,0.334284991025925
2024-11-04,"ADA",0.334284991025925,0.336084991693497,0.321399003267288,0.326018989086151,261938084,0.326018989086151
2024-11-05,"ADA",0.326027005910873,0.33789399266243,0.326012998819351,0.333923995494843,241884463,0.333923995494843
2024-11-06,"ADA",0.333925992250443,0.365031987428665,0.333920985460281,0.363323003053665,628391576,0.363323003053665
2024-11-07,"ADA",0.363323003053665,0.405012995004654,0.362033009529114,0.405012995004654,621558993,0.405012995004654
2024-11-08,"ADA",0.405012995004654,0.45788899064064,0.404758989810944,0.443814992904663,1438657272,0.443814992904663
2024-11-09,"ADA",0.443816989660263,0.493894994258881,0.428968995809555,0.493680000305176,721697726,0.493680000305176
2024-11-10,"ADA",0.493678003549576,0.652301013469696,0.489937007427216,0.590309023857117,5261440714,0.590309023857117
2024-11-11,"ADA",0.590304970741272,0.622249007225037,0.567807018756866,0.61380797624588,2987552596,0.61380797624588
2024-11-12,"ADA",0.61380797624588,0.64963299036026,0.558211982250214,0.573917984962463,2901745029,0.573917984962463
2024-11-13,"ADA",0.573943018913269,0.605301022529602,0.521301984786987,0.578774988651276,2297021923,0.578774988651276
2024-11-14,"ADA",0.578774988651276,0.598057985305786,0.545862019062042,0.580115973949432,1494813121,0.580115973949432
2024-11-15,"ADA",0.580137014389038,0.689216017723083,0.578541994094849,0.674059987068176,3850451584,0.674059987068176
2024-11-16,"ADA",0.703397989273071,0.81165599822998,0.70331597328186,0.738734006881714,5486835963,0.738734006881714
